,cust_id,Correct_Phone_no
0,0,504-621-8927
1,1,810-292-9388
2,2,856-636-8749
3,3,907-385-4412
4,4,513-570-1893
5,5,419-503-2484
6,6,773-573-6914
7,7,408-752-3500
8,8,605-414-2147
9,9,410-655-8723
10,10,215-874-1229
11,11,631-335-3414
12,12,310-498-5651
13,14,956-537-6195
14,15,602-277-4385
15,16,931-313-9635
16,17,414-661-9598
17,18,313-288-7937
18,19,815-828-2147
19,20,610-545-3615
20,21,408-540-1785
21,22,972-303-9197
22,23,518-966-7987
23,24,732-658-3154
24,25,715-662-6764
25,26,913-388-2079
26,27,410-669-1642
27,28,212-582-4976
28,29,936-336-3951
29,30,614-801-9788
30,31,505-977-3911
31,32,201-709-6245
32,33,732-924-7882
33,34,212-860-1579
34,35,504-979-9175
35,36,212-675-8570
36,38,210-812-9597
37,39,785-463-7829
38,40,541-548-8197
39,41,913-413-4604
40,42,907-231-4722
41,43,305-606-7291
42,44,907-741-1044
43,45,952-768-2416
44,46,617-399-5124
45,47,323-453-2780
46,48,608-336-7444
47,49,215-907-9111
48,50,212-402-9216
49,51,931-875-6644
50,52,803-925-5213
51,53,610-814-5533
52,54,908-877-6135
53,55,516-968-6051
54,56,215-934-8655
55,57,818-423-4007
56,59,215-211-9589
57,60,401-960-8259
58,61,732-234-1546
59,62,512-486-3817
60,63,303-724-7371
61,64,414-748-1374
62,65,212-674-9610
63,66,907-797-9628
64,67,814-393-5571
65,68,410-914-9018
66,69,208-862-5339
67,70,415-315-2761
68,71,919-225-9345
69,72,650-528-5783
70,73,925-647-3298
71,74,740-343-8575
72,75,585-866-8313
73,76,410-520-4832
74,77,973-354-2040
75,78,773-446-5569
76,79,973-927-3447
77,80,505-975-8559
78,81,718-332-6527
79,82,904-775-4480
80,83,510-993-3758
81,84,216-657-7668
82,85,817-914-7518
83,86,310-774-7643
84,87,847-728-7286
85,88,330-537-5358
86,89,215-255-1641
87,90,650-803-1936
88,91,626-572-1096
89,92,254-782-8569
90,93,907-870-5536
91,94,408-703-8505
92,95,510-503-7169
93,96,317-722-5066
94,97,307-704-8713
95,98,703-235-3937
96,99,504-710-5840
97,100,303-301-4946
98,101,510-828-7047
99,102,808-892-7943
100,103,952-334-9408
101,104,336-243-5659
102,105,516-509-2347
103,106,503-939-3153
104,107,608-976-7199
105,108,508-429-8576
106,109,305-385-9695
107,110,814-460-2655
108,111,972-666-3413
109,112,931-273-8709
110,113,973-649-2922
111,114,305-420-8970
112,115,410-224-9462
113,116,805-275-3566
114,117,808-215-6832
115,118,229-735-3378
116,119,617-418-5043
117,120,201-672-1553
118,121,650-933-5072
119,122,909-639-9887
120,123,510-955-3016
121,124,518-497-2940
122,125,570-867-7489
123,126,973-245-2133
124,127,908-409-2890
125,128,321-749-4981
126,129,718-809-3762
127,130,808-315-3077
128,131,303-623-4241
129,132,973-310-1634
130,133,609-524-3586
131,134,908-877-8409
132,135,508-584-4279
133,136,773-775-4522
134,137,503-527-5274
135,138,214-339-1809
136,139,312-303-5453
137,140,419-939-3613
138,141,951-645-3605
139,142,254-463-4368
140,143,615-406-7854
141,144,414-959-2540
142,145,410-387-5260
143,146,972-934-6914
144,147,310-560-8022
145,148,516-948-5768
146,149,609-518-7697
147,150,513-508-7371
148,151,541-326-4074
149,152,919-533-3762
150,153,212-332-8435
151,154,602-906-9419
152,155,317-234-1135
153,156,315-304-4759
154,157,856-487-5412
155,158,516-212-1915
156,159,501-308-1040
157,160,651-591-2583
158,161,215-325-3042
159,162,985-890-7262
160,163,631-957-7624
161,164,916-591-3277
162,165,208-649-2373
163,166,512-587-5746
164,167,215-964-3284
165,168,808-477-4775
166,169,775-501-8109
167,170,847-979-9545
168,171,973-545-7355
169,172,864-256-3620
170,173,410-209-9545
171,174,914-855-2115
172,175,212-260-3151
173,176,510-677-9785
174,177,978-697-6263
175,178,415-767-6596
176,179,201-971-1638
177,180,925-634-7158
178,181,773-494-4195
179,182,973-943-3423
180,183,419-544-4900
181,184,310-579-2907
182,185,352-242-2570
183,186,408-758-5015
184,187,570-889-5187
185,188,201-588-7810
186,189,925-615-5185
187,190,908-802-3564
188,191,631-748-6479
189,192,805-690-1682
190,193,908-275-8357
191,194,503-940-8327
192,195,503-516-2189
193,196,856-305-9731
194,197,770-507-8791
195,198,904-235-3633
196,0,504-621-8927
197,1,810-292-9388
198,2,856-636-8749
199,3,907-385-4412
200,4,513-570-1893
201,5,419-503-2484
202,6,773-573-6914
203,7,408-752-3500
204,8,605-414-2147
205,9,410-655-8723
206,10,215-874-1229
207,11,631-335-3414
208,12,310-498-5651
209,14,956-537-6195
210,15,602-277-4385
211,16,931-313-9635
212,17,414-661-9598
213,18,313-288-7937
214,19,815-828-2147
215,20,610-545-3615
216,21,408-540-1785
217,22,972-303-9197
218,23,518-966-7987
219,24,732-658-3154
220,25,715-662-6764
221,26,913-388-2079
222,27,410-669-1642
223,28,212-582-4976
224,29,936-336-3951
225,30,614-801-9788
226,31,505-977-3911
227,32,201-709-6245
228,33,732-924-7882
229,34,212-860-1579
230,35,504-979-9175
231,36,212-675-8570
232,39,785-463-7829
233,40,541-548-8197
234,41,913-413-4604
235,42,907-231-4722
236,43,305-606-7291
237,44,907-741-1044
238,45,952-768-2416
239,46,617-399-5124
240,47,323-453-2780
241,48,608-336-7777
242,49,215-907-9111
243,50,212-402-9216
244,51,931-875-6644
245,52,803-925-5213
246,53,610-814-5533
247,54,908-877-6135
248,55,516-968-6051
249,56,215-934-8655
250,57,818-423-4007
251,59,215-211-9589
252,60,401-960-8259
253,61,732-234-1546
254,62,512-486-3817
255,63,303-724-7371
256,64,414-748-1374
257,65,212-674-9610
258,66,907-797-9628
259,67,814-393-5571
260,68,410-914-9018
261,69,208-862-5339
262,70,415-315-2761
263,71,919-225-9345
264,72,650-528-5783
265,73,925-647-3298
266,74,740-343-8575
267,75,585-866-8313
268,76,410-520-4832
269,77,973-354-2040
270,78,773-446-5569
271,79,973-927-3447
272,80,505-975-8559
273,81,718-332-6527
274,82,904-775-4480
275,83,510-993-3758
276,84,216-657-7668
277,85,817-914-7518
278,86,310-774-7643
279,87,847-728-7286
280,88,330-537-5358
281,89,215-255-1641
282,90,650-803-1936
283,91,626-572-1096
284,92,254-782-8569
285,93,907-870-5536
286,94,408-703-8505
287,95,510-503-7169
288,96,317-722-5066
289,97,307-704-8713
290,98,703-235-3937
291,99,504-710-5840
292,100,303-301-4946
293,101,510-828-7047
294,102,808-892-7943
295,103,952-334-9408
296,104,336-243-5659
297,105,516-509-2347
298,106,503-939-3153
299,107,608-976-7199
300,108,508-429-8576
301,109,305-385-9695
302,110,814-460-2655
303,111,972-666-3413
304,112,931-273-8709
305,113,973-649-2922
306,114,305-420-8970
307,115,410-224-9462
308,116,805-275-3566
309,117,808-215-6832
310,118,229-735-3378
311,119,617-418-5043
312,120,201-672-1553
313,121,650-933-5072
314,122,909-639-9887
315,123,510-955-3016
316,124,518-497-2940
317,125,570-867-7489
318,126,973-245-2133
319,127,908-409-2890
320,128,321-749-4981
321,129,718-809-3762
322,130,808-315-3077
323,131,303-623-4241
324,132,973-310-1634
325,133,609-524-3586
326,134,908-877-8409
327,135,508-584-4279
328,136,773-775-4522
329,137,503-527-5274
330,138,214-339-1809
331,139,312-303-5453
332,140,419-939-3613
333,141,951-645-3605
334,142,254-463-4368
335,143,615-406-7854
336,144,414-959-2540
337,145,410-387-5260
338,146,972-934-6914
339,147,310-560-8022
340,148,516-948-5768
341,149,609-518-7697
342,150,513-508-7371
343,151,541-326-4074
344,152,919-533-3762
345,153,212-332-8435
346,154,602-906-9419
347,155,317-234-1135
348,156,315-304-4759
349,157,856-487-5412
350,158,516-212-1915
351,159,501-308-1040
352,160,651-591-2583
353,161,215-325-3042
354,162,985-890-7262
355,163,631-957-7624
356,164,916-591-3277
357,165,208-649-2373
358,166,512-587-5746
359,167,215-964-3284
360,168,808-477-4775
361,169,775-501-8109
362,170,847-979-9545
363,171,973-545-7355
364,172,864-256-3620
365,173,410-209-9545
366,174,914-855-2115
367,175,212-260-3151
368,176,510-677-9785
369,177,978-697-6263
370,178,415-767-6596
371,179,201-971-1638
372,180,925-634-7158
373,181,773-494-4195
374,182,973-943-3423
375,183,419-544-4900
376,184,310-579-2907
377,185,352-242-2570
378,186,408-758-5015
379,187,570-889-5187
380,188,201-588-7810
381,189,925-615-5185
382,190,908-802-3564
383,191,631-748-6479
384,192,805-690-1682
385,193,908-275-8357
386,194,503-940-8327
387,195,503-516-2189
388,196,856-305-9731
389,197,770-507-8791
390,198,904-235-3633
391,199,207-458-9196
392,200,817-765-5781
393,201,716-752-4114
394,202,305-670-9628
395,203,212-313-1783
396,204,215-605-7570
397,205,850-430-1663
398,206,415-306-7897
399,207,408-504-3552
400,208,650-947-1215
