,cust_id,first_name,last_name,zip,phone1,cust_id1,first_name1,last_name1,zip,phone1,country,state,new_id3,new_zip
0,1001.0,James,Butt,70116.0,504-621-8927,1001,James,Butt,70116,504-621-8927,Orleans,LA,1001,70116
1,1002.0,Josephine,Darakjy,48116.0,810-292-9388,1002,Josephine,Darakjy,48116,810-292-9388,Livingston,MI,1002,48116
2,1003.0,Art,Venere,8014.0,856-636-8749,1003,Art,Venere,8014,856-636-8749,Gloucester,NJ476,1003,8014
3,1004.0,Lenna,Paprocki,99501.0,907-385-4412,1004,Lenna,Paprocki,99501,907-385-4412,Anchorage,AK,1004,99501
4,1005.0,Donette,Foller,45011.0,513-570-1893,1005,Donette,Foller,45011,513-570-1893,Butler,OH,1005,45011
5,1006.0,Simona,Morasca,44805.0,419-503-2484,1006,Simona,Morasca,44805,419-503-2484,Ashland,OH,1006,44805
6,1007.0,Mitsue,Tollner,60632.0,773-573-6914,1007,Mitsue,Tollner,60632,773-573-6914,Cook,IL,1007,60632
7,1008.0,Leota,Dilliard,95111.0,408-752-3500,1008,Leota,Dilliard,95111,408-752-3500,Santa Clara,CA,1008,95111
8,1009.0,Sage,Wieser,57105.0,605-414-2147,1009,wake,up,57105,605-414-2147,Minnehaha,SD,1009,57105
9,1010.0,Kris,Marrier,21224.0,410-655-8723,1010,Kris,Marrier,21224,410-655-8723,Baltimore City,MD,1010,21224
10,1011.0,Minna,Amigon,19443.0,215-874-1229,1011,Minna,Amigon,19443,215-874-1229,Montgomery,PA,1011,19443
11,1012.0,Abel,Maclead,11953.0,631-335-3414,1012,Abel,Maclead,11953,631-335-3414,Suffolk,NY,1012,11953
12,1013.0,Kiley,Caldarera,90034.0,310-498-5651,1013,Kiley,Caldarera,90034,310-498-5651,Los Angeles,CA,1013,90034
13,1014.0,Graciela,Ruta,44023.0,440-780-84,1014,Graciela,Ruta,44023,440-780-84,Geauga,OH,1014,44023
14,1015.0,Cammy,Albares,78045.0,956-537-6195,1015,Cammy,Albares,78045,956-537-6195,Webb,TX,1015,78045
15,1016.0,Mattie,Poquette,85013.0,602-277-4385,1016,Mattie,Poquette,85013,602-277-4385,Maricopa,AZ,1016,85013
16,1017.0,Meaghan,Garufi,37110.0,931-313-9635,1017,Meaghan,Garufi,37110,931-313-9635,Warren,TN,1017,37110
17,1018.0,Gladys,Rim,53207.0,414-661-9598,1018,Gladys,Rim,53207,414-661-9598,Milwaukee,WI,1018,53207
18,1019.0,Yuki,Whobrey,48180.0,313-288-7937,1019,Yu,wangee,48180,313-288-7937,Wayne,MI,1019,48180
19,1020.0,Fletcher,Flosi,61109.0,815-828-2147,1020,Fletcher,Flosi,61109,815-828-2147,Winnebago,IL,1020,61109
20,1021.0,Bette,Nicka,19014.0,610-545-3615,1021,Bette,Nicka,19014,610-545-3615,Delaware,PA,1021,19014
21,1022.0,Veronika,Inouye,95111.0,408-540-1785,1022,Veronika,Inouye,95111,408-540-1785,Santa Clara,CA,1022,95111
22,1023.0,Willard,Kolmetz,75062.0,972-303-9197,1023,Willard,Kolmetz,75062,972-303-9197,Dallas,TX,1023,75062
23,1024.0,Maryann,Royster,12204.0,518-966-7987,1024,Maryann,Royster,12204,518-966-7987,Albany,NY,1024,12204
24,1025.0,Alisha,Slusarski,8846.0,732-658-3154,1025,Alisha,Slusarski,8846,732-658-3154,Middlesex,NJ,1025,8846
25,1026.0,Allene,Iturbide,54481.0,715-662-6764,1026,Allene,Iturbide,54481,715-662-6764,Portage,WI,1026,54481
26,1027.0,Chanel,Caudy,66218.0,913-388-2079,1027,Chanel,Caudy,66218,913-388-2079,Johnson,KS,1027,66218
